tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2624,,d,2026-08-22T12:00:00Z,12.1,134.6,tropical depression,,1002,15,30,23,45,almost stationary,,,,,,,,,,,,,,
TC2624,,d,2026-08-22T15:00:00Z,12.4,134.6,tropical depression,,1002,15,30,23,45,almost stationary,,,,,,,,,,,,,,
TC2624,,d,2026-08-22T18:00:00Z,12.6,134.6,tropical depression,,1000,15,30,23,45,N,slowly,slowly,,,,,,,,,,,,
TC2624,,d,2026-08-22T21:00:00Z,12.9,134.5,tropical depression,,1000,15,30,23,45,N,slowly,slowly,,,,,,,,,,,,
TC2624,,d,2026-08-23T00:00:00Z,13.0,134.5,tropical depression,,1000,15,30,23,45,N,slowly,slowly,,,,,,,,,,,,
TC2624,,d,2026-08-23T03:00:00Z,13.1,135.5,tropical depression,,1000,15,30,23,45,NE,10,6,,,,,,,,,,,,
TC2624,,d,2026-08-23T06:00:00Z,13.3,135.9,tropical depression,,1000,15,30,23,45,ENE,15,7,,,,,,,,,,,,
TC2624,,d,2026-08-23T09:00:00Z,13.5,136.0,tropical depression,,1000,15,30,23,45,NE,10,6,,,,,,,,,,,,
TC2624,,d,2026-08-23T12:00:00Z,13.6,136.2,tropical depression,,1002,15,30,23,45,NE,10,6,,,,,,,,,,,,
TC2624,,d,2026-08-23T15:00:00Z,13.9,136.4,tropical depression,,1002,15,30,23,45,NE,10,6,,,,,,,,,,,,
TC2624,,d,2026-08-23T18:00:00Z,14.1,136.4,tropical depression,,1000,15,30,23,45,NNE,10,6,,,,,,,,,,,,
